,0
193,0.105643581
194,0.104202473
195,0.102435023
196,0.102300471
197,0.105487762
198,0.106383137
199,0.106000595
200,0.107388036
201,0.112127684
202,0.112797335
203,0.114655957
204,0.114888515
205,0.113216768
206,0.115376281
207,0.109104236
208,0.106405249
209,0.103649715
210,0.104152568
211,0.09688384
212,0.095587035
213,0.098594551
214,0.098080221
215,0.097821904
216,0.098714976
217,0.09918992
218,0.100186142
219,0.100412635
220,0.102512223
221,0.101416612
222,0.100597054
223,0.098722923
224,0.097565967
225,0.097150986
226,0.094022354
227,0.08937503
228,0.08981861
229,0.090919096
230,0.08669804
231,0.087459324
232,0.088170473
233,0.084523018
234,0.086211925
235,0.089399906
236,0.090201652
237,0.088564301
238,0.093138648
239,0.093005977
240,0.094591081
241,0.092080697
242,0.092021579
243,0.090227219
244,0.091133689
245,0.09799377
246,0.096413503
247,0.097632111
248,0.096482871
249,0.096379759
250,0.094196638
251,0.097228416
252,0.09437883
253,0.094743177
254,0.098672135
255,0.100071361
256,0.097792153
257,0.098785151
258,0.097727698
259,0.098005056
260,0.098576892
261,0.099280325
262,0.097055168
263,0.095863433
264,0.089824062
265,0.087827509
266,0.083237807
267,0.080708036
268,0.081472814
269,0.082098395
270,0.081300948
271,0.083029433
272,0.08472548
273,0.083966844
274,0.084906137
275,0.083429711
276,0.082922559
277,0.082320473
278,0.081262176
279,0.081690093
280,0.082685587
281,0.081317263
282,0.080970537
283,0.079653924
284,0.086995206
285,0.084306353
286,0.077557215
287,0.071087009
288,0.064539027
289,0.065982477
290,0.065600779
291,0.067033326
292,0.066907066
293,0.066894245
294,0.06572512
295,0.065866044
296,0.06587829
297,0.066771708
298,0.065783586
299,0.066130043
300,0.064562598
301,0.063016689
302,0.063056767
303,0.059795655
304,0.062213254
305,0.062646431
306,0.062089144
307,0.062610576
308,0.063120876
309,0.062833959
310,0.065917792
311,0.068163564
312,0.067631805
313,0.067512455
314,0.067826588
315,0.06547164
316,0.066428399
317,0.069181552
318,0.068251473
319,0.070597593
320,0.071210505
321,0.069818726
322,0.069632426
323,0.068272971
324,0.071638499
325,0.073131394
326,0.073087247
327,0.074018055
328,0.074810511
329,0.076742417
330,0.094681064
331,0.097813612
332,0.099336603
333,0.096579879
334,0.100796061
335,0.101903149
336,0.099581138
337,0.098799661
338,0.109095868
339,0.106084474
340,0.105319005
341,0.107453834
342,0.106141327
343,0.101854089
344,0.102806049
345,0.102342699
346,0.10318744
347,0.105282997
348,0.10508353
349,0.100351866
350,0.105110094
351,0.118975212
352,0.118796666
353,0.122029102
354,0.118825227
355,0.117801826
356,0.123838702
357,0.121607326
358,0.122250373
359,0.119865674
360,0.120539317
361,0.118970029
